tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-3.36141,-19.7379,-24.5474,-3.696,-31.3235,-5.54205,7.71547,14.0399,9.92045,-18.7584,60,-2.83606,0,0,0,0,0,0,0,0,0,0,0,0,0.117444,0.869726,-1.4105,0.0705539,0.74134,-1.39203,0.119035,0.873504,-1.41182,0.102591,-0.499809,-1.43944,-0.088106,0.586077,-1.79612,-0.12453,0.145234,-1.48789,0.119707,1.20634,-1.16806,-0.235578,0.617498,-1.4829,-5.77736,3.00885,2.42799,-5.11535,-1.06349,0.195851,-5.58438,3.10269,2.53545,0.115736,-1.09162,0.324175,
3.45747,-21.4583,-25.9338,6.79041,-28.7796,-4.00846,14.6967,21.5822,6.61333,-14.1816,60,-1.97269,0,0,0,0,0,0,0,0,0,0,0,0,-0.00235414,0.892999,-1.36498,-0.0369598,0.719706,-1.39986,0.00525531,0.897396,-1.34641,0.0656297,-0.507685,-1.44656,-0.0766412,0.531187,-1.82924,-0.054092,0.12579,-1.46217,0.161323,1.32427,-1.13028,-0.256816,0.626214,-1.5141,-5.48601,1.13357,0.29063,-5.62377,-2.82602,0.42272,-4.44581,1.37863,3.83522,-2.58392,0.272317,-1.2667,
-4.36289,-12.3933,-6.0247,5.1809,-9.26714,-7.84745,1.50168,8.15505,-2.15704,-9.86598,47.885,18.2463,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696624,0.90904,-1.45989,-0.128681,0.585034,-1.36199,-0.0161781,0.968452,-1.27965,-0.0104229,-0.468774,-1.51069,-0.182031,0.679864,-1.73592,-0.0963239,0.215556,-1.46109,0.0389001,1.241,-1.253,-0.297373,0.460558,-1.25856,-1.32173,-0.15373,-6.65929,-2.47364,-8.03937,1.74292,1.111,4.971,2.63487,-4.30275,2.34781,-3.18468,
-5.66856,5.00428,12.6991,-0.938713,4.65756,-7.7281,3.83166,0.337796,-0.929941,-1.9933,40.8554,19.1772,0,0,0,0,0,0,0,0,0,0,0,0,-0.0705725,0.861346,-1.63405,-0.132711,0.38144,-1.37085,0.0405764,1.13721,-1.2347,-0.127519,-0.425146,-1.53737,-0.188129,0.882763,-1.56929,-0.136989,0.273587,-1.56843,0.155428,1.33798,-1.23237,-0.295956,0.340207,-1.13817,-0.579669,-2.78283,-6.64514,0.5116,-7.70145,-2.28272,1.80741,7.78535,0.7696,-5.2878,0.901093,2.02077,
-3.64893,15.8585,15.4424,-2.93695,11.0203,-4.34563,7.567,2.09909,3.8728,1.72711,32.1772,13.1155,0,0,0,0,0,0,0,0,0,0,0,0,-0.0841084,0.790158,-1.7295,-0.111535,0.2448,-1.41833,0.0727599,1.2578,-1.22977,-0.208883,-0.433574,-1.45604,-0.188542,0.988743,-1.50341,-0.135123,0.321635,-1.60271,0.261853,1.46306,-1.15793,-0.291341,0.125583,-1.05389,-1.52356,-3.59009,-2.18741,1.19242,-4.94138,-4.21492,2.06045,6.68388,0.0571463,-4.55438,-1.03533,6.54711,
-3.02067,9.94571,14.7217,-3.41579,7.79027,7.83483,9.38361,10.4233,5.65505,3.44053,14.5629,5.00317,0,0,0,0,0,0,0,0,0,0,0,0,-0.122394,0.73329,-1.72779,-0.0898145,0.184372,-1.57517,0.140765,1.38894,-1.22599,-0.292228,-0.449203,-1.29242,-0.240112,0.845931,-1.4273,-0.119697,0.263054,-1.60581,0.413305,1.72418,-1.10749,-0.309404,-0.190653,-0.996964,-2.51186,-2.72764,1.31262,1.28891,-2.51836,-6.9237,4.07714,5.829,0.627387,-3.18925,-0.249261,8.17946,
-5.22071,-1.45405,10.1651,-4.68871,1.45841,2.90456,17.7785,21.2184,10.0178,-12.4488,-1.18614,0.108774,0,0,0,0,0,0,0,0,0,0,0,0,-0.184126,0.701839,-1.6637,-0.0800678,0.155135,-1.68647,0.204158,1.52247,-1.2093,-0.231266,-0.432177,-1.09706,-0.342194,0.64659,-1.36127,-0.154227,0.143654,-1.71413,0.586083,2.08442,-1.01048,-0.356683,-0.408293,-0.887008,-2.52584,-1.15248,4.70414,0.443618,-1.51991,-3.21859,2.34722,7.04643,0.667131,4.03696,1.81803,8.32297,
-5.52037,0.105658,9.08619,-3.06044,1.23472,-6.40293,31.4966,41.3162,2.26352,-10.1098,-8.62142,-5.07392,0,0,0,0,0,0,0,0,0,0,0,0,-0.254375,0.685031,-1.54156,-0.107255,0.124382,-1.71036,0.21141,1.61578,-1.14137,-0.196467,-0.368371,-0.961054,-0.437766,0.665606,-1.20261,-0.202885,0.120882,-1.84728,0.788401,2.36132,-0.915778,-0.366444,-0.440188,-0.904308,-3.32078,-0.853841,6.95006,-1.59941,-1.03801,-0.820082,0.17301,-0.226713,7.37755,0.553509,3.39743,5.95997,
-3.21445,1.39891,3.83529,0.0227413,-3.22305,-7.52142,30.3804,51.936,5.42562,-6.03771,-9.65113,-13.29,0,0,0,0,0,0,0,0,0,0,0,0,-0.308118,0.6771,-1.42031,-0.138425,0.11405,-1.72691,0.234171,1.62062,-1.03073,-0.20645,-0.308512,-0.870423,-0.4443,0.698337,-1.17167,-0.185735,0.0558096,-1.90817,0.841711,2.57875,-0.788766,-0.344957,-0.392188,-1.00407,-3.1095,-0.167919,7.15616,-1.90895,0.0144179,-1.77993,2.20674,0.553452,5.7326,-1.14923,3.67194,4.31958,
-1.12642,-4.82487,-2.13273,1.12464,-10.4921,0.981744,16.7466,60,18.1285,-4.36176,-10.6503,-8.46756,0,0,0,0,0,0,0,0,0,0,0,0,-0.368752,0.691727,-1.27451,-0.176625,0.127073,-1.78919,0.314215,1.63651,-0.925817,-0.241138,-0.225565,-0.822864,-0.448612,0.642818,-1.15609,-0.191878,-0.0459394,-1.85599,0.740187,2.87814,-0.483593,-0.36109,-0.312088,-0.969088,-2.37518,1.55263,6.28788,-1.42803,0.710142,-3.38624,4.85952,1.25356,4.50462,-1.62589,4.28479,0.309268,
