tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-3.35085,5.831,7.46652,4.25126,-4.19551,9.20117,-3.08227,0.335536,13.4279,-0.103851,23.2568,12.4519,0,0,0,0,0,0,0,0,0,0,0,0,0.0109732,0.788203,-1.47105,-0.0110279,0.790191,-1.46953,0.00574497,0.756403,-1.45998,-0.00424645,0.753798,-1.4596,-0.0498842,0.894874,-1.3456,0.0662055,0.714715,-1.31282,-0.050297,0.760179,-1.22095,-0.0061873,1.17441,-1.23852,0.00268308,0.026121,-0.412037,-0.00249202,0.0322676,-0.423364,-2.49362e-05,-0.0929619,-0.20482,-0.00210556,-0.0894363,-0.21281,
-6.67407,4.20786,13.0608,7.59186,-4.28149,11.0944,-5.51313,2.64314,20.0552,1.97174,47.5132,23.4777,0,0,0,0,0,0,0,0,0,0,0,0,0.00943728,0.789,-1.47624,-0.0126261,0.791919,-1.47594,0.00458685,0.757606,-1.46825,-0.00570514,0.761382,-1.46888,-0.119051,0.868079,-1.24386,0.118196,0.720677,-1.28475,-0.101235,0.814764,-1.12077,0.0267942,1.66229,-1.05508,-0.28564,0.102924,-0.203547,-0.288487,0.26413,-0.421085,-0.22333,0.364063,-0.686612,-0.134017,1.48127,-0.522511,
-5.76229,-0.660558,8.81089,12.0805,-8.17568,12.0681,-6.47068,-0.446312,24.7226,2.87747,7.47206,50.6763,0,0,0,0,0,0,0,0,0,0,0,0,-0.00558279,0.793227,-1.47265,-0.0276918,0.804665,-1.48248,-0.00607142,0.778265,-1.49463,-0.0167767,0.850989,-1.51438,-0.135151,0.785994,-1.29662,0.167117,0.675012,-1.26384,-0.141043,0.803518,-1.08116,0.0195514,1.14198,-0.669889,-0.991974,0.191111,0.633241,-0.993479,0.759836,-0.0312327,-0.692908,1.33472,-1.44132,-0.639581,6.20538,-3.0758,
-7.7767,-13.7404,11.1892,10.953,-11.6256,9.61173,-6.29641,-7.36659,19.4178,3.87156,-2.19921,34.3965,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235175,0.795943,-1.46039,-0.0438161,0.816594,-1.48126,-0.0169664,0.800061,-1.51758,-0.0224216,0.947949,-1.53649,-0.165703,0.549139,-1.24888,0.142841,0.616461,-1.30265,-0.135032,0.686265,-1.18749,0.0208865,0.979609,-0.931281,-0.0316479,0.120814,0.322547,-0.499515,0.449689,0.154009,-0.143408,0.805683,-0.918307,-1.08336,2.86584,-0.807172,
-5.68051,-9.11972,14.3393,9.53775,-6.19163,8.95915,-6.2249,-0.017099,11.3988,1.56162,11.2366,15.0009,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209209,0.793431,-1.46629,-0.0430162,0.81491,-1.4797,-0.00927357,0.792201,-1.51343,-0.0179322,0.950606,-1.52282,-0.12081,0.618451,-1.21875,0.133873,0.691726,-1.31837,-0.111582,0.759789,-1.27829,0.0223454,1.12774,-1.22521,0.135715,-0.36669,-0.526889,0.139006,-0.424335,-0.0626196,0.434843,-1.28405,1.11552,0.475375,-1.08686,0.994429,
-3.24443,-3.85496,10.9338,9.34644,-4.94734,7.67981,-4.67006,1.16867,7.61809,1.56104,21.2741,12.7592,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216569,0.781552,-1.47416,-0.0436924,0.803725,-1.48091,-0.00362309,0.758868,-1.48242,-0.0114165,0.921872,-1.49583,-0.0859149,0.697111,-1.27719,0.121043,0.702839,-1.34016,-0.0864914,0.747634,-1.31253,0.0199576,1.2839,-1.24056,-0.210738,-0.574001,-0.0733205,-0.207988,-0.437386,0.0449811,0.0816793,-1.29933,1.25518,0.119663,-0.990862,0.931294,
-1.55712,-2.52718,7.33539,9.86119,-5.38459,5.16324,-5.10302,-1.31081,10.2018,-0.0871147,11.7783,20.2954,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280463,0.771099,-1.46985,-0.0500001,0.797674,-1.47657,-0.00352041,0.742017,-1.46633,-0.00852826,0.925091,-1.48708,-0.0638457,0.716629,-1.32769,0.121929,0.696868,-1.37488,-0.0962054,0.711598,-1.27566,-0.00795766,1.17228,-1.12509,-0.299523,-0.340835,0.351594,-0.2946,-0.116189,0.312325,0.00388841,-0.263452,0.207252,0.0861801,1.32146,-0.280447,
-1.97489,-3.57504,8.19065,9.56264,-5.05781,5.27679,-6.06818,-2.46882,12.4894,0.0864672,1.89865,20.759,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322615,0.767233,-1.46385,-0.0541329,0.797433,-1.4715,-0.00302628,0.74257,-1.46859,-0.0080727,0.951864,-1.48597,-0.0701299,0.698214,-1.31113,0.117949,0.704895,-1.369,-0.107811,0.697876,-1.2458,-0.00772573,1.01489,-1.12109,-0.0784509,-0.160747,0.151853,-0.0713864,-0.0230834,0.262361,0.221844,0.00776318,-0.171572,-0.0490062,1.14009,-0.502639,
-3.34047,-3.21214,12.1936,8.61885,-4.23126,7.83613,-6.53254,-0.371496,11.4151,-0.761661,6.33712,16.2468,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303155,0.764757,-1.46824,-0.0520373,0.796116,-1.471,0.00467795,0.737993,-1.46941,-0.00137565,0.956464,-1.48576,-0.0863973,0.703403,-1.2588,0.109454,0.716224,-1.3339,-0.103961,0.718772,-1.25686,-0.00417852,1.06463,-1.18906,0.186155,-0.118041,-0.49067,0.191385,-0.118395,-0.215298,0.405386,-0.498668,0.200072,0.44182,-0.282224,0.0520474,
-3.50625,-1.16915,12.3947,8.68737,-3.843,10.6144,-5.83096,0.878466,10.8303,-0.233276,10.6463,16.3575,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279171,0.76156,-1.4803,-0.0496008,0.793766,-1.47959,0.01092,0.724588,-1.46271,0.00549769,0.947015,-1.48246,-0.0915432,0.73627,-1.26697,0.108455,0.722161,-1.29802,-0.0913868,0.726096,-1.25853,0.00555813,1.13125,-1.18347,0.00495498,-0.161316,-0.481271,0.00415437,-0.0693121,-0.456902,0.148429,-0.57855,0.290798,0.172073,-0.373173,0.0632783,
