tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-3.38966,10.7021,6.18426,4.09323,-1.08651,8.59237,-3.13267,3.87843,17.538,0.152747,23.8645,13.5485,0,0,0,0,0,0,0,0,0,0,0,0,0.0113664,0.735574,-1.48134,-0.00966786,0.740825,-1.47689,0.0134549,0.741408,-1.49898,-0.0151996,0.745883,-1.49253,-0.0501403,0.933037,-1.36837,0.0648545,0.724038,-1.32047,-0.0435016,0.813582,-1.17724,-0.0124173,1.18144,-1.24351,0.00493952,0.115138,0.0209577,0.00399853,0.118699,0.00778616,4.759e-05,0.0662632,0.114829,0.000200774,0.0663475,0.107334,
-3.20156,2.73034,13.4787,7.91481,-1.84937,10.5078,-6.1672,4.32054,23.9184,3.41621,38.032,28.9705,0,0,0,0,0,0,0,0,0,0,0,0,-0.000443841,0.749019,-1.484,-0.0144559,0.748371,-1.47816,0.00961832,0.74972,-1.50271,-0.0209314,0.772738,-1.5026,-0.0898182,0.828959,-1.2427,0.117406,0.730064,-1.29091,-0.111842,0.847939,-1.08289,0.0303316,1.53175,-0.996708,-1.24656,1.21191,-0.150835,-0.481754,0.612741,-0.152278,-0.373188,0.786566,-0.602224,-0.433999,2.70094,-0.833602,
-5.14387,1.00459,10.9173,9.93558,-5.53688,13.1666,-7.35649,-2.83521,24.2464,2.72627,-1.91995,36.4166,0,0,0,0,0,0,0,0,0,0,0,0,-0.0185388,0.766634,-1.48162,-0.025018,0.762459,-1.48035,0.00210144,0.769349,-1.51875,-0.0300412,0.838448,-1.52224,-0.133017,0.797471,-1.26892,0.134584,0.685141,-1.24088,-0.147601,0.753431,-1.10645,0.0167297,0.924605,-0.856238,-0.838137,0.502882,0.567867,-0.841781,0.934101,0.00307259,-0.637911,1.42523,-1.14185,-0.11191,4.84265,0.155417,
-7.54815,-6.30346,16.1103,7.93821,-5.14563,10.5644,-9.11044,-4.24056,18.5752,2.88652,13.8842,31.6268,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306159,0.776072,-1.47077,-0.037186,0.779518,-1.47634,-0.00390726,0.794514,-1.53683,-0.0436655,0.916877,-1.53615,-0.16357,0.669501,-1.18194,0.111511,0.693399,-1.27932,-0.158459,0.722904,-1.19852,0.0202176,1.18985,-0.976736,0.171412,0.321512,-0.163556,0.174643,0.297544,0.197671,0.443689,0.219659,0.0230414,0.456036,0.821469,-0.624924,
-3.34634,-9.40498,12.0901,8.81688,-7.70003,8.03812,-5.93046,-2.79863,8.22847,3.99703,25.8252,16.626,0,0,0,0,0,0,0,0,0,0,0,0,-0.027839,0.777119,-1.47624,-0.0343511,0.780037,-1.47487,0.00384871,0.783638,-1.52048,-0.0351868,0.91098,-1.52374,-0.0950245,0.601471,-1.25728,0.119588,0.639467,-1.32846,-0.103421,0.709913,-1.33844,0.0391571,1.36579,-1.19718,-0.253716,-0.185911,-0.0345532,-0.254702,-0.0228007,0.0104041,0.0222686,-0.913629,1.29738,0.0668259,-0.589641,0.970689,
-0.592802,-7.01743,6.23169,10.684,-8.37483,6.17902,-5.37766,-2.83081,7.29695,-0.13149,16.1613,26.25,0,0,0,0,0,0,0,0,0,0,0,0,-0.0397613,0.770642,-1.46889,-0.0463578,0.780596,-1.47158,-0.00105629,0.765714,-1.49218,-0.0303183,0.920353,-1.50995,-0.064966,0.637084,-1.34115,0.133377,0.631396,-1.34974,-0.103913,0.703652,-1.33676,-0.0255236,1.2644,-1.05661,-0.577059,-0.238734,0.577383,-0.580828,0.122772,0.379894,-0.203261,-0.423721,0.910082,0.287417,2.00821,-0.957189,
-0.102041,-9.28769,4.63122,11.2703,-9.55901,3.89835,-6.33823,-6.0391,9.88289,0.357618,-32.2989,5.17759,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485697,0.767447,-1.45736,-0.0549177,0.783424,-1.46372,-0.00394255,0.764503,-1.48401,-0.0230702,0.958896,-1.49939,-0.0504062,0.598082,-1.35631,0.139898,0.613954,-1.3805,-0.121329,0.65635,-1.29703,-0.0210982,0.411736,-1.33337,0.000751197,-0.0199451,0.673829,-0.403922,0.173208,0.493472,-0.085851,0.0659742,0.29167,-0.181205,1.60369,2.87509,
-3.87153,-7.8317,14.159,7.65935,-5.63968,6.55958,-9.16259,-1.07547,7.98801,-2.41632,-29.551,1.10875,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404544,0.767925,-1.46064,-0.04685,0.78187,-1.45514,0.011041,0.755981,-1.47158,-0.0169886,0.960855,-1.47219,-0.0881453,0.625381,-1.22895,0.115539,0.669499,-1.33874,-0.128669,0.706874,-1.29833,-0.0330707,0.388202,-1.41466,0.908024,-0.00596389,-1.0296,0.925116,-0.393252,-0.114688,1.07531,-1.1821,1.12054,1.11404,-1.41451,1.49472,
-4.61,-5.52267,17.3865,6.27449,-3.13524,12.4002,-5.03664,3.98464,0.420644,-0.682484,-22.2219,-6.98048,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229074,0.763917,-1.48969,-0.0291342,0.770229,-1.46989,0.0282049,0.716873,-1.43558,0.000704246,0.911437,-1.42525,-0.0916219,0.653851,-1.21101,0.100032,0.697154,-1.27356,-0.0526446,0.72998,-1.37251,-0.000546291,0.434096,-1.48608,0.604142,-0.386179,-1.49753,0.603384,-0.642811,-1.16509,0.429035,-2.37365,2.21666,0.44633,-2.93226,2.64366,
-7.39293,1.05579,18.5503,4.64629,3.23816,16.5002,3.51151,1.43795,2.86952,4.21862,7.95388,-8.13714,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145478,0.753312,-1.51863,-0.0209276,0.755903,-1.49954,0.0149982,0.674856,-1.3958,-0.00403212,0.837928,-1.37182,-0.139084,0.761155,-1.20938,0.0732149,0.798569,-1.23094,0.0375617,0.677561,-1.31761,0.0529879,0.879099,-1.46782,0.395236,-0.454122,-1.12141,0.386577,-0.648411,-1.2563,-1.65128,-0.937591,1.04067,-0.787289,-4.13778,2.07797,
