tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
1.69352,-2.6694,7.89433,-1.40858,0.053871,6.22117,-0.527316,6.57704,13.617,0.534086,4.68707,11.7637,0,0,0,0,0,0,0,0,0,0,0,0,0.012244,0.814186,-1.55509,-0.0122469,0.814184,-1.55509,0.0279032,0.774594,-1.58035,-0.0279,0.774588,-1.58036,0.0545853,0.747449,-1.35774,-0.0474648,0.815529,-1.39957,0.014721,0.938993,-1.23988,-0.0145485,0.891738,-1.28621,0.000133242,-7.17855e-05,-0.00030582,-0.000133225,-7.18356e-05,-0.000305795,2.62185e-05,-0.0010736,0.00200738,-2.63722e-05,-0.00107368,0.0020075,
2.05977,-0.322209,7.18033,-1.85494,2.43141,6.37306,-1.76952,8.54872,17.9425,2.18787,6.74355,16.4126,0,0,0,0,0,0,0,0,0,0,0,0,0.0122536,0.814184,-1.55511,-0.0122565,0.814182,-1.55511,0.0279052,0.774523,-1.58021,-0.027902,0.774517,-1.58022,0.063751,0.806129,-1.37561,-0.0586332,0.874968,-1.39579,-0.0163321,0.98822,-1.13161,0.0267939,0.943085,-1.16986,0.000133267,2.9294e-05,-0.000284685,-0.000133245,2.92458e-05,-0.000284662,2.91384e-05,-0.000834743,0.00176956,-2.92849e-05,-0.000834815,0.00176968,
2.6267,0.453494,2.65722,-2.33482,3.39169,2.21837,-1.79113,9.69233,16.0608,2.28811,8.21955,14.4929,0,0,0,0,0,0,0,0,0,0,0,0,0.0123922,0.811809,-1.54831,-0.0128824,0.81302,-1.54997,0.0278843,0.773138,-1.57386,-0.0283083,0.773211,-1.57464,0.0786525,0.817353,-1.46459,-0.0730981,0.895208,-1.48086,-0.0167429,1.01116,-1.15421,0.0280503,0.974504,-1.19595,0.0237172,-0.23172,0.691434,-0.0738051,-0.104175,0.546041,0.0060479,-0.171554,0.725029,-0.0337696,-0.167843,0.654669,
1.99315,-0.847923,-0.378865,-1.90505,1.17548,0.77498,-1.55014,8.26211,11.0808,1.59723,7.23063,9.65072,0,0,0,0,0,0,0,0,0,0,0,0,0.0159461,0.807962,-1.53477,-0.015554,0.813763,-1.5396,0.028561,0.770603,-1.5587,-0.0288212,0.770389,-1.56077,0.0716033,0.782827,-1.52482,-0.0707994,0.852572,-1.50745,-0.00792314,0.975351,-1.25678,0.0103992,0.948245,-1.29674,0.233143,-0.157481,0.777076,-0.304764,0.376855,0.510931,0.0907727,-0.072202,0.995907,-0.0284196,-0.116396,0.910573,
0.298512,-3.63899,-0.504931,-0.468652,-3.12206,1.91968,-1.37785,4.78098,5.48553,0.987406,4.23239,5.01786,0,0,0,0,0,0,0,0,0,0,0,0,0.02426,0.806077,-1.52255,-0.0280562,0.831735,-1.52129,0.0319927,0.77352,-1.53749,-0.0299493,0.770807,-1.54162,0.0482803,0.710633,-1.52826,-0.0589884,0.776491,-1.44717,0.00233467,0.903316,-1.38089,-0.00767926,0.882661,-1.3994,0.6623,-0.178757,0.276374,-0.768636,0.912311,1.04505,0.191531,0.410857,0.778366,-0.096605,0.241755,0.671206,
-0.747967,-4.64473,1.47404,0.228839,-6.4056,5.01049,-1.46184,0.182177,0.614037,0.178338,0.164855,1.19889,0,0,0,0,0,0,0,0,0,0,0,0,0.0414237,0.785757,-1.5193,-0.0433349,0.845431,-1.50772,0.0363214,0.792906,-1.51625,-0.0321839,0.78305,-1.53265,0.0369007,0.629524,-1.48056,-0.0450576,0.695077,-1.38463,0.00416943,0.823334,-1.48427,-0.0285719,0.803127,-1.49723,0.567046,-1.60461,0.0754953,-0.297747,0.391448,-0.0870019,0.175764,1.03494,0.665146,-0.0338597,0.638205,0.217971,
-0.912728,-3.64084,3.92438,0.499744,-6.35866,5.57623,-1.27323,-1.12263,0.270078,0.0459572,-1.85512,-0.354806,0,0,0,0,0,0,0,0,0,0,0,0,0.0504272,0.747804,-1.52494,-0.0468637,0.855531,-1.51555,0.0372578,0.810725,-1.51193,-0.0321865,0.792584,-1.5257,0.0394905,0.629529,-1.4562,-0.0372965,0.708441,-1.38584,0.00298408,0.795766,-1.50196,-0.0309637,0.757208,-1.53044,0.475258,-1.09015,-1.17463,-0.117056,0.475059,-0.387825,-0.0977163,0.524266,0.128491,0.0029527,0.440086,0.164882,
-0.961061,-2.05421,4.65147,0.626111,-4.94312,5.39111,-1.40039,-1.25511,1.25481,0.346785,-2.02973,0.0902933,0,0,0,0,0,0,0,0,0,0,0,0,0.0567862,0.725891,-1.53219,-0.0485613,0.863435,-1.52262,0.0366319,0.817583,-1.51398,-0.0323264,0.800537,-1.52789,0.0425189,0.649351,-1.43023,-0.0357311,0.752094,-1.39953,0.000735849,0.795896,-1.48924,-0.02478,0.756297,-1.53427,0.390369,-1.00739,-0.572861,-0.112903,0.489459,-0.467504,-0.0354553,0.387634,-0.265431,-0.0449287,0.260136,-0.345487,
-0.716988,-1.99637,5.35446,0.608145,-3.78808,5.08524,-1.46996,-0.964007,2.2674,0.818454,-1.37505,1.25237,0,0,0,0,0,0,0,0,0,0,0,0,0.0626327,0.715646,-1.54259,-0.0516383,0.874617,-1.5348,0.0353112,0.826698,-1.52356,-0.0339351,0.801582,-1.53871,0.0462339,0.667181,-1.4199,-0.039881,0.791005,-1.42069,-0.00324912,0.81231,-1.47888,-0.0150835,0.765049,-1.51978,0.0610383,0.057758,-0.446846,-0.13785,0.443615,-0.520819,-0.0724542,0.388486,-0.480483,-0.0643886,-0.0862613,-0.495097,
-0.586859,-1.7769,5.71263,0.379171,-2.80909,4.67441,-1.48538,-0.689784,2.79193,1.2671,-0.893551,2.26181,0,0,0,0,0,0,0,0,0,0,0,0,0.0622334,0.721718,-1.55156,-0.0536915,0.881158,-1.54285,0.0341778,0.832899,-1.53179,-0.0348163,0.800837,-1.54508,0.0466203,0.685515,-1.42347,-0.0472587,0.820698,-1.43853,-0.00475399,0.825293,-1.47529,-0.00469788,0.779811,-1.49567,-0.0376679,0.328762,-0.588856,-0.121859,0.390656,-0.501491,-0.0718898,0.385552,-0.532126,-0.0623649,0.0524985,-0.285662,
