tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-1.88922,8.79838,-1.4783,4.23953,4.59563,15.1625,-6.03071,10.656,26.6351,-2.26026,39.131,9.00843,0,0,0,0,0,0,0,0,0,0,0,0,0.0174328,0.726376,-1.46545,-0.0279089,0.71572,-1.49676,0.0289717,0.741098,-1.51311,-0.0117857,0.532939,-1.50158,-0.0169192,0.886377,-1.49233,0.0491701,0.799307,-1.22107,-0.0806757,0.934861,-1.02881,-0.0528802,1.24444,-1.33778,-0.000101779,0.00120649,4.97629e-05,-0.000136024,0.0012091,0.00041738,7.62472e-05,0.000722689,0.00109259,4.71245e-05,0.00120162,0.000580038,
3.221,4.37178,5.37908,6.74887,9.86833,22.6782,-9.83172,17.3864,39.2345,-1.55735,60,17.7354,0,0,0,0,0,0,0,0,0,0,0,0,0.00545312,0.738008,-1.47872,-0.0302893,0.717319,-1.49898,0.0266973,0.741484,-1.5131,-0.014076,0.534934,-1.50513,0.0269545,0.853216,-1.41945,0.085594,0.901628,-1.09363,-0.158586,1.0595,-0.801214,-0.0489987,2.0212,-1.19046,-1.48249,1.42886,-1.54116,-0.27294,0.195423,-0.279164,-0.261004,0.0758965,-0.0585289,-0.264288,0.187551,-0.311418,
1.67176,2.85575,4.42375,4.89177,17.1268,31.3721,-12.2503,18.9438,42.7808,-0.135848,60,28.8979,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217404,0.76787,-1.50471,-0.035025,0.721606,-1.50579,0.0223218,0.742688,-1.51431,-0.0185437,0.538186,-1.51082,-0.0179926,0.853539,-1.44127,0.0489127,1.03831,-0.945376,-0.204864,1.08694,-0.736443,-0.0255875,2.90105,-0.990684,-1.06592,1.34987,-0.679682,-0.200145,0.212439,-0.399406,-0.178072,-0.00736553,0.00121056,-0.182956,0.0973858,-0.21108,
-0.530684,3.36693,2.38212,3.44488,20.1416,31.6251,-12.505,18.5504,37.9872,2.01705,60,29.3172,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262789,0.780635,-1.49961,-0.037686,0.723863,-1.51281,0.0195042,0.739581,-1.51079,-0.0213142,0.535832,-1.50859,-0.038277,0.851714,-1.45882,0.0209823,1.09036,-0.942726,-0.212955,1.06972,-0.809539,0.0105344,3.84284,-0.967582,-0.0939718,0.394513,-0.100941,-0.158638,0.011558,-0.196656,-0.20378,-0.285519,0.423213,-0.193,-0.229801,0.318905,
2.69615,-1.29006,3.64555,3.56782,13.1402,23.9771,-11.1901,9.46712,22.7108,3.48662,60,17.1343,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315488,0.783671,-1.49713,-0.0409631,0.719884,-1.51126,0.0143998,0.727527,-1.49191,-0.0259332,0.524322,-1.48948,0.00750833,0.762407,-1.42811,0.0219078,0.951722,-1.06793,-0.193392,0.884852,-1.05453,0.0337556,4.90632,-1.15117,-0.398552,0.0876381,0.10925,-0.0799446,-0.282984,0.295213,-0.173437,-0.592185,0.97854,-0.14817,-0.597411,1.07097,
2.86359,0.172653,-0.204787,3.5053,11.506,20.4985,-11.4041,6.644,16.2939,1.87038,60,7.09982,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366934,0.783262,-1.49325,-0.0405277,0.713559,-1.50257,0.0129373,0.717512,-1.47432,-0.0268889,0.513136,-1.46807,0.0181947,0.779612,-1.48548,0.0262113,0.91307,-1.11493,-0.19422,0.825755,-1.15489,0.00805951,6.06654,-1.30762,0.112913,-0.271557,0.459753,0.120251,-0.387601,0.597796,0.0075976,-0.50225,0.926997,0.0376586,-0.627152,1.25457,
3.61542,-2.40411,-0.60179,5.00209,7.73127,16.8258,-11.8173,3.24319,15.4492,0.101155,60,0.343996,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321761,0.779533,-1.48511,-0.0370978,0.706496,-1.48762,0.0141422,0.711285,-1.45884,-0.0251441,0.503614,-1.44484,0.0430072,0.730062,-1.48697,0.0568651,0.84143,-1.16405,-0.199901,0.768443,-1.16557,-0.021996,7.17848,-1.41744,0.377932,-0.230383,0.363379,0.120629,-0.225376,0.70558,0.032659,-0.0723536,0.494992,0.0523596,-0.231725,0.845526,
0.257134,-1.29778,0.749599,8.36108,3.01163,15.6757,-10.4509,0.926915,16.3531,0.762277,60,4.41705,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147021,0.766497,-1.47748,-0.0396273,0.707535,-1.47457,0.0106856,0.718385,-1.45661,-0.027934,0.511103,-1.44063,0.0145024,0.719889,-1.45451,0.103627,0.768929,-1.18143,-0.187854,0.748285,-1.16382,-0.0211055,8.23323,-1.37079,0.981174,-0.920473,0.373903,-0.3506,0.265477,0.325248,-0.340916,0.521859,-0.181512,-0.281244,0.846716,-0.418943,
-4.24547,2.64431,3.96809,10.0115,1.37777,17.0301,-8.66483,-0.430066,16.9623,3.29863,60,13.3827,0,0,0,0,0,0,0,0,0,0,0,0,0.00234096,0.746615,-1.4725,-0.0491658,0.715443,-1.47253,0.00210558,0.730433,-1.46356,-0.0357279,0.532027,-1.45551,-0.0529018,0.762419,-1.39154,0.117904,0.753796,-1.16287,-0.168412,0.741466,-1.16788,0.0114911,9.22659,-1.23592,0.877904,-1.29097,0.352643,-0.598323,0.532112,0.000697797,-0.518993,0.754107,-0.509117,-0.510241,1.17208,-0.949281,
-4.61413,7.24355,5.78549,9.4746,2.56518,18.7786,-8.73526,-0.311064,20.7318,5.00996,60,19.2596,0,0,0,0,0,0,0,0,0,0,0,0,0.00917726,0.718368,-1.46031,-0.0591661,0.727261,-1.4755,-0.00563374,0.746585,-1.47719,-0.0439891,0.550388,-1.47243,-0.0841092,0.819182,-1.33318,0.105966,0.786937,-1.1388,-0.168541,0.759099,-1.11797,0.0423263,10.1667,-1.13951,-0.375727,-1.23546,0.877246,-0.28535,0.521437,-0.189052,-0.163388,0.726781,-0.709034,-0.190994,0.740139,-0.690399,
