tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-9.75871,-3.67171,24.6128,2.22025,-0.238423,1.21078,-0.786078,8.29998,15.0478,10.0856,10.4882,34.3442,0,0,0,0,0,0,0,0,0,0,0,0,0.00792027,0.73564,-1.47954,-0.00667968,0.734527,-1.47884,0.00549737,0.741867,-1.4984,-0.00508107,0.743701,-1.49738,-0.0850064,0.700079,-1.24519,0.0144502,0.731664,-1.46736,-0.00196695,0.820525,-1.35555,0.0909526,0.8432,-1.17075,0.000539632,-0.0236913,-0.00214773,-0.000614627,-0.0237084,-0.00193183,0.000885285,-0.0155959,-0.0182565,-0.000803484,-0.0154998,-0.0183408,
-9.42621,-10.9537,22.7249,2.51419,-2.73167,5.34206,-1.70796,2.65577,17.0624,8.80079,5.46148,31.6172,0,0,0,0,0,0,0,0,0,0,0,0,0.00798981,0.74139,-1.49286,-0.00673383,0.740299,-1.49224,0.00553036,0.746729,-1.5101,-0.00515344,0.748563,-1.50909,-0.081705,0.64247,-1.29032,0.0171885,0.71985,-1.45584,-0.0108949,0.77546,-1.35777,0.0784228,0.803985,-1.21834,0.00314543,0.216064,-0.555449,-0.000893506,0.222669,-0.579185,-0.00635932,0.137536,-0.407075,-0.00963199,0.136279,-0.414755,
-9.87975,-9.4163,23.1194,2.88012,-2.48814,4.84215,-1.24401,2.89586,13.354,8.73331,5.6143,29.1872,0,0,0,0,0,0,0,0,0,0,0,0,0.00783487,0.741387,-1.49889,-0.00693975,0.740838,-1.50013,0.00470073,0.743694,-1.5104,-0.0060134,0.74566,-1.51046,-0.0873825,0.64694,-1.28084,0.0193296,0.713795,-1.4599,-0.00916201,0.760855,-1.37469,0.0751532,0.789584,-1.22668,-0.0449812,-0.190686,-0.085447,-0.0464162,-0.133856,-0.235396,-0.0805992,-0.416753,0.341163,-0.0803092,-0.381853,0.232246,
-10.3431,-6.06965,22.6347,2.7283,-0.623319,5.13413,-0.656127,4.66747,10.2041,8.50609,7.31825,28.9987,0,0,0,0,0,0,0,0,0,0,0,0,0.00634721,0.733162,-1.49691,-0.00843288,0.734462,-1.50255,0.00247171,0.733618,-1.5008,-0.00757521,0.736534,-1.50329,-0.0939021,0.663043,-1.27537,0.0158293,0.718664,-1.45348,-0.00645115,0.759382,-1.38485,0.0708572,0.789321,-1.21275,-0.0697486,-0.492531,0.239223,-0.0688642,-0.394459,0.00685168,-0.106961,-0.747504,0.750547,-0.103118,-0.676397,0.574304,
-10.7087,-1.27363,21.8849,1.7973,1.86493,3.69417,-0.299371,8.18577,8.34648,8.44832,11.4789,30.6089,0,0,0,0,0,0,0,0,0,0,0,0,0.0055092,0.722049,-1.48893,-0.00922664,0.725294,-1.49942,0.000725561,0.713055,-1.4789,-0.00990361,0.720522,-1.48889,-0.0968869,0.695392,-1.26728,0.00756409,0.730826,-1.4571,-0.00384604,0.772868,-1.37911,0.0687431,0.812262,-1.18097,-0.0163462,-0.581095,0.529055,-0.0130574,-0.489156,0.285785,-0.0688178,-0.72587,0.811635,-0.0725404,-0.703307,0.656024,
-10.5142,-1.5138,20.2734,1.68558,2.48149,1.84837,-0.175267,8.2454,7.50046,8.6282,11.6389,29.2045,0,0,0,0,0,0,0,0,0,0,0,0,0.0054627,0.712831,-1.47866,-0.00920192,0.717505,-1.49308,-0.000236553,0.703333,-1.46754,-0.0108346,0.708926,-1.47781,-0.0944693,0.684325,-1.26764,0.00718786,0.729225,-1.4637,-0.00321734,0.769185,-1.38068,0.0700679,0.808261,-1.18852,0.00811981,-0.563557,0.717285,0.0134654,-0.476526,0.471018,-0.0524631,-0.507003,0.617232,-0.0508339,-0.460461,0.446108,
-10.5294,-0.959702,17.8719,0.559335,2.96095,0.870628,-0.119518,8.67279,8.37117,9.02214,12.2414,30.6266,0,0,0,0,0,0,0,0,0,0,0,0,0.00604383,0.701095,-1.45928,-0.00560506,0.708807,-1.48136,-0.0012126,0.696953,-1.45817,-0.0117981,0.703264,-1.47203,-0.0934514,0.681433,-1.26787,0.00634546,0.731756,-1.46395,-0.00319145,0.777408,-1.3731,0.0732831,0.818259,-1.17837,0.031378,-0.42089,0.848036,0.264941,-0.21001,0.364552,-0.0336233,-0.0857153,0.213702,-0.0337559,-0.0635676,0.0792103,
-10.2016,-0.612583,16.5656,-1.71053,2.42056,0.420852,0.0469796,8.41502,8.43998,9.19817,11.6981,31.4529,0,0,0,0,0,0,0,0,0,0,0,0,0.00626955,0.693076,-1.44137,0.00663831,0.707381,-1.47573,-0.00221771,0.697082,-1.45575,-0.012816,0.704107,-1.47273,-0.0910293,0.679292,-1.26454,0.00613068,0.730513,-1.4673,-0.00308017,0.778739,-1.37433,0.0734531,0.818029,-1.17575,-0.00563084,-0.31798,0.762316,0.631325,0.00317848,0.176928,-0.0523953,0.060556,0.0418292,-0.0533008,0.100451,-0.102827,
-9.94297,-0.422288,16.3794,-1.86376,2.45185,1.11459,0.0701942,8.31882,8.74353,9.47259,11.2308,31.8427,0,0,0,0,0,0,0,0,0,0,0,0,0.00573274,0.688121,-1.42934,0.0149872,0.707569,-1.47385,-0.00338112,0.698315,-1.45551,-0.0139998,0.706274,-1.47523,-0.0899175,0.678089,-1.25882,0.00525284,0.731089,-1.46202,-0.00432856,0.779217,-1.37234,0.0745686,0.816297,-1.17576,-0.0382111,-0.240404,0.581213,0.320631,0.00676619,0.0487085,-0.0646386,0.0669844,-0.00395047,-0.0658718,0.122497,-0.151964,
-9.82756,0.0568929,16.7296,-1.55474,2.45876,1.65169,-0.162287,8.30177,9.2019,9.42481,10.7402,31.9026,0,0,0,0,0,0,0,0,0,0,0,0,0.00533018,0.684045,-1.41982,0.0184787,0.707535,-1.47359,-0.00420059,0.699551,-1.4561,-0.0148456,0.708453,-1.47831,-0.0883662,0.680993,-1.25264,0.00494019,0.73077,-1.4577,-0.00619649,0.779636,-1.36939,0.0744359,0.812586,-1.17759,-0.0040248,-0.143765,0.314042,0.0507411,-0.00725094,0.00634107,-0.0180121,0.0408247,-0.0370735,-0.0191407,0.0738287,-0.124423,
