tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-4.22568,8.08481,-0.841622,6.99877,10.9074,22.3287,-13.7315,22.4929,35.8931,4.54721,7.68595,17.2888,-0.901986,0.807352,5.63368,0.143894,0.282508,6.02196,2.28455,4.20279,13.234,-3.01746,5.33541,9.8071,0.00802851,0.702495,-1.54043,-0.00174533,0.70616,-1.54549,-0.018675,0.673872,-1.59558,0.026529,0.662527,-1.57167,-0.0322161,0.769868,-1.5469,0.0649096,0.797055,-1.37373,-0.149451,0.861312,-1.31948,0.0698358,0.726577,-1.43877,-1.4013e-45,-1.4013e-45,-1.66788e-09,1.4013e-45,-1.4013e-45,-1.4013e-45,1.4013e-45,-1.4013e-45,-1.4013e-45,-1.4013e-45,-1.4013e-45,-0.00476977,
-0.601592,-8.47369,-10.2936,8.468,4.58954,28.6127,-9.48673,10.7699,41.9092,-2.2664,1.25557,-6.62819,-4.23407,5.13315,2.50045,3.0542,10.5087,18.6614,-8.76088,21.3451,34.3563,2.50406,7.762,16.4154,0.00750492,0.704939,-1.5516,0.00575959,0.709127,-1.52036,-0.0328122,0.678933,-1.5694,0.0336849,0.662527,-1.5708,0.000332737,0.644173,-1.65437,0.110316,0.754871,-1.24828,-0.168515,0.784203,-1.19444,0.0363858,0.67299,-1.61919,-0.0504955,0.303044,-1.22653,0.836808,0.23069,2.70265,-1.58735,0.477574,2.73428,0.849999,-1.4013e-45,0.134914,
2.31081,-21.1462,-17.6305,11.4813,-3.68623,25.1466,-10.6853,11.7631,44.5769,-0.185461,-2.21817,-4.55248,-0.0359581,-12.9263,-10.0032,6.57938,6.38711,35.2121,-12.7503,14.1321,50.6873,1.22821,0.766971,0.230343,0.00453786,0.724661,-1.5509,0.023911,0.708255,-1.51076,-0.0418879,0.679108,-1.56224,0.0349066,0.663051,-1.57429,0.0158835,0.582236,-1.67604,0.143795,0.681807,-1.29122,-0.152719,0.776746,-1.18398,0.0224264,0.646422,-1.63628,-0.373172,1.03982,0.545109,0.368815,0.131401,1.35743,-0.317308,-0.011923,1.83894,-0.374987,0.0571044,-1.40256,
-4.83052,-2.02725,10.3122,2.31374,4.75714,22.995,3.36018,15.2173,35.0488,5.13333,5.9563,11.6163,-3.238,-4.40504,0.729735,2.13839,-0.363238,25.4217,-6.13055,16.0564,43.637,0.179893,-1.25162,-1.53738,0.0200713,0.698132,-1.63188,0.0699877,0.697259,-1.4872,-0.0619592,0.660607,-1.52193,0.026529,0.663574,-1.61094,-0.0013293,0.609154,-1.61501,0.143101,0.715966,-1.30597,-0.0789797,0.76763,-1.22138,0.0688659,0.703148,-1.51479,0.861153,-2.21796,-3.24769,1.78772,-0.644185,0.225745,-1.71578,-0.608867,1.6088,-0.229318,-0.309586,0.353469,
-8.82688,23.3081,22.0824,-9.33823,-1.13448,16.1192,7.93612,17.3816,3.84381,5.92887,10.0852,40.1632,-4.08614,11.6781,2.69328,-1.40978,1.37281,19.5886,2.72388,18.451,30.6684,6.84162,4.76909,11.1425,0.031765,0.610865,-1.64794,0.0968658,0.699179,-1.47602,-0.0825541,0.641932,-1.48074,0.0172788,0.659036,-1.62473,-0.0519852,0.683424,-1.47766,0.0682841,0.703882,-1.33632,-0.0388589,0.756059,-1.41462,0.0615221,0.754774,-1.30067,0.0110341,-3.74387,0.0216663,2.11238,0.435612,0.816936,-1.11604,-0.945242,1.9004,-0.427773,0.359843,0.785746,
-6.06837,18.9987,20.421,-12.7479,-0.314605,-2.73144,7.44508,13.5594,10.1168,-0.580415,15.9231,45.8384,-0.143894,7.15551,-0.614452,-1.40978,1.13044,9.92475,4.71569,11.8392,12.2065,4.60444,10.7104,27.9901,0.0136136,0.60144,-1.60047,0.107687,0.696561,-1.4474,-0.087441,0.636173,-1.48109,0.0289725,0.663051,-1.54357,-0.0840679,0.761344,-1.36597,-0.0314219,0.69204,-1.44815,-0.0212423,0.751633,-1.45465,0.0387708,0.811136,-1.10027,-1.39606,0.0486452,4.02548,-0.619498,-0.0584309,1.05375,-0.164738,0.0758671,-2.6721,0.536413,0.473627,4.71627,
2.1689,1.23953,11.1797,-10.4431,1.26687,-9.32276,-6.2947,5.43174,17.3115,-5.68809,13.8732,29.695,3.27479,0.888117,7.03314,-7.32943,2.05974,-6.95527,-1.77363,9.45914,5.01311,-1.70078,18.1724,43.4147,-0.0471239,0.649262,-1.4961,0.0881391,0.688009,-1.38579,-0.0523599,0.660956,-1.4851,0.0237365,0.662178,-1.48545,-0.0942818,0.74811,-1.38359,-0.0198757,0.680841,-1.40438,-0.0537458,0.717207,-1.36764,0.0112729,0.776381,-1.21839,-2.37349,2.72365,1.37835,-0.299487,-0.54539,2.76254,2.04973,0.338039,-0.816895,1.45981,-0.043297,2.0091,
6.08008,0.325704,-1.52378,8.00888,-7.11726,7.91299,-10.1853,9.06611,34.856,-3.47745,11.7601,9.9466,1.99238,-0.443973,-6.95527,3.09094,-4.48593,5.94428,-7.367,4.64774,16.0161,-6.84162,15.8963,23.6548,-0.0836013,0.70075,-1.39801,0.0214676,0.693594,-1.43449,-0.0300197,0.67265,-1.49208,0.045204,0.657116,-1.43431,-0.0641304,0.753477,-1.30986,0.0298249,0.661982,-1.43356,-0.0875609,0.774299,-1.23837,0.0306126,0.743453,-1.32084,-1.34521,1.53887,5.19338,-2.37712,0.852276,-3.11691,1.38114,0.803017,-0.749542,0.648452,-0.358917,1.92206,
0.703369,-11.2526,-5.96054,11.6125,14.4334,6.56625,-7.50359,15.1301,33.742,-8.81435,9.42846,-2.08026,-3.238,-4.08145,9.57193,2.83391,0.968888,-5.09064,-11.2256,14.4132,27.6988,-7.367,12.5238,9.57193,-0.0738274,0.739496,-1.39853,-0.0015708,0.678235,-1.39993,-0.0010472,0.666541,-1.46416,0.0733038,0.649786,-1.40412,-0.0354845,0.709932,-1.46878,0.0780965,0.76807,-1.31582,-0.0439435,0.789414,-1.17658,0.0281861,0.712566,-1.41515,1.10755,1.97562,-1.26866,-1.08248,-0.936729,1.74725,0.999827,-0.0988188,1.45717,1.359,-0.485874,0.258498,
-2.03516,-3.27101,-12.4556,3.75578,3.96813,3.96798,-3.95833,20.0529,17.5441,-2.05934,3.33097,-8.28158,-4.3451,-0.686214,-11.8909,-0.0359581,6.34666,9.7679,-1.84651,18.7295,28.0317,-1.04688,6.50845,2.19208,-0.0397935,0.73042,-1.34897,0.0307178,0.690278,-1.409,-0.0127409,0.651182,-1.39853,0.0602139,0.649786,-1.39853,-0.017123,0.681001,-1.47991,0.0960208,0.759992,-1.33121,-0.0681571,0.79989,-1.20429,0.014574,0.673157,-1.45058,1.47186,-0.681887,-1.82682,1.03368,1.12757,2.45791,-0.620123,-0.566161,3.08302,-0.910946,-0.134981,0.606013,
-1.78685,-6.64527,6.36187,1.47263,1.79815,-5.7798,-2.35822,18.1325,23.7497,-0.131272,0.442153,-2.90316,-1.04688,-3.43434,3.92913,-0.432171,3.91966,-1.30651,-1.81006,20.0001,21.0864,-0.938194,-0.645837,-1.96092,-0.0233874,0.742289,-1.47952,0.06353,0.697608,-1.32383,-0.018326,0.641059,-1.3816,0.0518363,0.662003,-1.42576,-0.0203749,0.693595,-1.52847,0.0959423,0.748106,-1.281,-0.0606726,0.783726,-1.17309,0.0323058,0.687752,-1.44131,0.701054,0.205658,-5.0902,0.643554,1.09273,4.53909,-0.69606,-0.259607,1.34302,-0.639811,0.678878,0.352593,
-1.53845,6.38589,7.23429,-2.20529,-7.21094,-4.13744,2.19557,16.4612,11.8062,3.17958,1.76544,9.63909,-0.287952,3.31302,-0.0383843,-2.68722,-2.3831,12.4038,0.974413,17.5346,25.7517,1.91942,0.686214,3.00195,-0.020944,0.688358,-1.46695,0.0841249,0.734784,-1.34617,-0.0535816,0.639314,-1.37078,0.0228638,0.668636,-1.45351,-0.0317412,0.697096,-1.46956,0.0769227,0.710397,-1.31541,-0.0462139,0.771789,-1.26295,0.0377833,0.69671,-1.39009,0.134913,-1.36854,-3.0297,0.48302,1.09861,3.25443,-0.473986,-0.144661,0.884882,-0.537681,0.411153,-0.557569,
-1.0304,10.2411,8.9378,-11.9976,-6.11646,3.28736,6.14703,8.76028,11.7994,2.86459,12.6885,26.7361,-0.215903,2.42352,4.04515,-4.6786,-8.77242,8.86727,3.60623,12.6848,17.4161,1.19192,-0.282508,9.29774,-0.0235619,0.692547,-1.51564,0.10472,0.747001,-1.3837,-0.0645772,0.646295,-1.38597,0.0261799,0.673697,-1.46136,-0.0464309,0.751433,-1.40741,0.0027211,0.710619,-1.38541,-0.0308756,0.741975,-1.33315,0.0416561,0.784049,-1.28639,-0.456947,-0.814018,2.05321,0.429259,0.448867,-1.40395,-0.869455,0.697748,-1.97349,-0.413199,0.141996,-1.59601,
0.844801,6.41539,10.754,-10.7878,-11.4976,-3.50931,1.37506,5.55288,11.0655,4.04371,9.81338,12.2735,2.13839,3.75788,4.19989,-6.99161,-8.20666,5.20695,-0.504341,7.84286,14.4632,1.77363,8.77242,16.4154,-0.039619,0.67998,-1.45665,0.101055,0.7566,-1.39487,-0.058294,0.657466,-1.40045,0.0172788,0.687311,-1.4378,-0.0605696,0.729224,-1.34359,-0.00925826,0.685885,-1.42235,-0.0280366,0.714656,-1.34847,0.0437864,0.779907,-1.31756,-1.01487,-0.129775,1.5775,-0.26501,0.772245,-0.02534,0.600654,0.335877,-1.72303,-0.420136,0.332877,1.34332,
1.64324,-5.6929,14.5935,-3.70047,-11.6602,-2.37725,1.49135,2.88286,13.9618,-1.15082,4.15172,-1.84337,1.26451,-1.97891,10.5921,-5.42185,-10.9524,1.84537,-2.90731,2.62565,14.9005,-3.27479,10.428,9.21944,-0.053058,0.718901,-1.42995,0.0644027,0.767945,-1.41372,-0.039619,0.673872,-1.42716,0.0349066,0.693768,-1.41319,-0.0474983,0.701802,-1.27242,0.0201005,0.677942,-1.42177,-0.00661986,0.71593,-1.34985,0.0450312,0.735269,-1.41043,-0.353158,0.933597,2.35421,-0.317084,0.22045,0.532024,0.657853,0.554897,-1.565,0.737969,0.212382,0.881292,
6.68261,-5.64513,4.36246,0.323323,-13.0516,4.81452,-3.11715,2.79036,17.0666,-4.37158,6.0307,1.43496,7.06664,-5.0927,24.0647,-1.19192,-14.7743,3.69717,-1.66438,2.8278,13.0362,-3.0542,4.84999,1.22957,-0.0872665,0.730246,-1.43187,0.0459022,0.774577,-1.43152,-0.0116937,0.682424,-1.44164,0.0598648,0.693768,-1.39591,-0.0513614,0.703921,-1.36675,0.00909393,0.687296,-1.4061,-0.0143596,0.71477,-1.31766,0.0405742,0.745247,-1.36873,-0.970857,0.637487,1.64105,-1.39606,0.660988,-0.603938,0.945742,0.279782,-0.37973,0.782023,0.037636,0.839764,
2.53262,-5.06882,-1.28278,-7.39598,-6.72889,10.8633,-2.46773,7.4368,14.2107,0.0866741,4.97724,1.08779,0.323991,-6.50845,11.0638,-8.0065,-15.3356,6.21624,1.22821,2.10016,15.179,1.15565,3.55566,5.55606,-0.0816814,0.73618,-1.43972,0.0633555,0.786969,-1.44723,-0.0132645,0.68766,-1.43815,0.0513127,0.702146,-1.41703,-0.0376101,0.714644,-1.43746,0.0260136,0.748395,-1.37774,-0.0460776,0.757582,-1.32103,0.0329152,0.758047,-1.39867,0.698288,0.637065,0.630656,1.15836,0.538475,-0.731777,-0.325884,0.244581,0.406051,-0.672804,0.443822,0.519952,
4.51185,-5.99247,-1.59047,-4.60732,-8.33332,5.22312,-0.425606,6.18401,20.2916,-1.81971,1.97237,-3.82511,1.66438,-5.49722,1.99944,-5.79454,-7.11508,7.85163,-0.360041,5.33541,14.7414,0.612671,3.87921,2.15354,-0.0657989,0.745081,-1.44513,0.0710349,0.801281,-1.44496,-0.0249582,0.698306,-1.42908,0.0401426,0.712443,-1.40796,-0.0119459,0.704083,-1.44459,0.04672,0.744039,-1.39428,-0.0413091,0.773713,-1.26956,0.0210433,0.745911,-1.43468,0.380907,0.27504,0.664524,0.684752,0.37548,0.545964,-0.430414,0.73457,0.178162,-0.0619051,0.524035,0.140492,
4.96358,-2.79228,2.7491,-1.67914,-7.63603,4.25688,-0.0954179,8.6611,24.6707,-2.88906,1.5769,-1.10944,4.4562,-5.0118,1.72986,-2.17492,-7.762,4.19989,-0.504341,6.34666,21.0864,-1.66438,1.85767,-0.960372,-0.0605629,0.748746,-1.46119,0.0696386,0.803724,-1.43361,-0.0335103,0.707033,-1.42838,0.0406662,0.720297,-1.41197,-0.00829597,0.717908,-1.43582,0.0461825,0.742229,-1.39814,-0.0436649,0.79536,-1.23566,0.0160622,0.743553,-1.42362,0.174816,-0.232902,0.21976,-0.261251,0.0658097,0.141695,-0.323604,0.496957,0.153028,0.10188,0.311238,-0.161961,
1.66881,-6.52061,-0.700014,-4.57298,-7.94928,7.43472,-0.206388,7.03567,12.8728,0.140225,0.486837,-0.114225,3.31158,-5.33541,2.77043,-4.19708,-9.13602,4.58696,0.107905,9.37837,22.2658,-0.504341,0.726592,-0.11516,-0.0544543,0.755379,-1.46206,0.0759218,0.808262,-1.42855,-0.034383,0.713142,-1.40935,0.031765,0.727977,-1.42541,-0.0227276,0.711795,-1.45237,0.0422064,0.748519,-1.37177,-0.0465596,0.776514,-1.28895,0.021512,0.743039,-1.42107,0.554165,0.330924,0.783925,0.344288,0.200021,-0.0210608,-0.357386,0.145888,1.11212,-0.405597,0.338606,0.27128,
2.60485,-4.50732,1.82306,-6.84864,-9.12553,4.89433,0.897255,9.35789,17.1209,-0.382696,1.96923,4.16479,1.70078,-5.90173,1.42193,-6.28005,-9.13602,8.74995,0.504341,8.32791,14.3838,-0.360041,0.605461,0.691305,-0.045204,0.756949,-1.46206,0.0865683,0.816989,-1.43012,-0.0439823,0.711222,-1.40708,0.0274017,0.73234,-1.42576,-0.013063,0.723506,-1.44776,0.0403073,0.74916,-1.38502,-0.0434718,0.784819,-1.28244,0.0223889,0.754126,-1.40866,0.256651,0.126691,0.0142781,0.663743,0.252829,0.387528,-0.281216,-0.134913,-0.366688,-0.0478819,0.165389,-0.776859,
1.89633,-6.01595,4.93316,-5.48041,-11.4145,5.25765,0.017166,6.20557,12.3829,-1.95724,1.88952,-1.75851,3.20122,-5.78038,2.57757,-4.86414,-9.62067,6.8385,0.0719266,8.24708,15.9762,-1.7372,1.85767,-0,-0.0445059,0.76044,-1.46451,0.087441,0.821177,-1.43501,-0.0462512,0.712618,-1.39993,0.0326377,0.733387,-1.41581,-0.0243351,0.720177,-1.42677,0.0322471,0.733585,-1.40005,-0.0432899,0.767824,-1.30032,0.0220662,0.752338,-1.41239,0.0738661,0.303698,-0.0110309,-0.104982,0.231642,-0.285052,0.097923,0.107464,0.226582,0.282412,0.0986084,0.881219,
