Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.00202429233932734,-0.00191439557723508,-0.0162060723401418,0,0,0,12.1563657079259,0.0547087652466687,4.44586974597564E-05,-0.000169540190751134,0.0839677232996351,-1.83668926259717E-05,0.116443585784269,0,0,0,0,0,0,package://MCat/meshes/base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/base.STL,,30kg机身0909-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.0135743006129709,-0.0146338381180833,0.000221623322046671,0,0,0,0.602542264410564,0.000459761220423681,1.45396009800442E-06,1.11616834607541E-06,0.000914077185979958,-1.56692628514192E-07,0.000612038563525872,0,0,0,0,0,0,package://MCat/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/FL_hip.STL,,30kg前摆关节电机装配体-2,FL_hip,A_FL_hip,FL_hip_joint,revolute,0.28494,0.079803,-0.015554,0,0,0,base,1,0,0,0,0,-180,180,,,,,,,,
FL_thigh,-0.00595362903366281,-0.0326969169754271,-0.0440118839928252,0,0,0,0.785678491739206,0.00436995881170484,-4.23636663045695E-05,0.000333213142764721,0.00469808070989148,-0.000332449813667282,0.00074765536760887,0,0,0,0,0,0,package://MCat/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/FL_thigh.STL,,80外径左膝关节装配-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0,0.1055,0,0,0,0,FL_hip,0,1,0,0,0,-180,180,,,,,,,,
FL_calf,0.014490067955333,2.9360936584788E-07,-0.122677236489571,0,0,0,0.220169741162109,0.0021235083730478,1.21803014428595E-10,-5.85106358586893E-05,0.00216132719842408,1.91880997405861E-10,5.41701070744701E-05,0,0,0,0,0,0,package://MCat/meshes/FL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/FL_calf.STL,,小腿装配体-3,FL_calf,A_FL_calf,FL_calf_joint,revolute,0,0,-0.26,0,0,0,FL_thigh,0,1,0,0,0,-180,180,,,,,,,,
FL_foot,-0.00213577656465458,-1.02259671841409E-08,-0.00353057387333955,0,0,0,0.0333171708165601,7.22195293547157E-06,2.71121643660529E-11,-2.92499802061473E-06,1.09566553679955E-05,2.74724632298732E-11,1.03078646369766E-05,0,0,0,0,0,0,package://MCat/meshes/FL_foot.STL,0,0,0,1,0,0,0,0,0,0,package://MCat/meshes/FL_foot.STL,,30kg开模脚掌-1,FL_foot,,FL_foot_joint,fixed,0,0,-0.26851,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-0.0135743006129596,0.0146338381180807,-0.000221623321570968,0,0,0,0.602542264410564,0.000459761220423682,-1.4539600980046E-06,-1.11616834607342E-06,0.000914077185979958,-1.56692628514158E-07,0.000612038563525873,0,0,0,0,0,0,package://MCat/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/FR_hip.STL,,30kg前摆关节电机装配体-1,FR_hip,A_FR_hip,FR_hip_joint,revolute,0.28494,-0.084197,-0.015554,0,0,0,base,1,0,0,0,0,-180,180,,,,,,,,
FR_thigh,-0.0069008101321531,0.0293956513566173,-0.0473729783867188,0,0,0,0.736903980621104,0.00436990246458299,4.22258480674531E-05,0.000334599662784874,0.00469486957628012,0.000332296865512665,0.000744044040814024,0,0,0,0,0,0,package://MCat/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/FR_thigh.STL,,80外径右膝关节装配-1,FR_thigh,A_FR_thigh,FR_thigh_joint,revolute,0,-0.1035,0,0,0,0,FR_hip,0,1,0,0,0,-180,180,,,,,,,,
FR_calf,0.014490067956101,2.93608623302966E-07,-0.122677236489982,0,0,0,0.220169741162109,0.00212350837304782,1.21803027402535E-10,-5.85106358586927E-05,0.0021613271984241,1.91880536131139E-10,5.41701070744661E-05,0,0,0,0,0,0,package://MCat/meshes/FR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/FR_calf.STL,,小腿装配体-4,FR_calf,A_FR_calf,FR_calf_joint,revolute,0,0,-0.26,0,0,0,FR_thigh,0,1,0,0,0,-180,180,,,,,,,,
FR_foot,-0.00213577656389202,-1.02259907486246E-08,-0.00353057387379468,0,0,0,0.033317170816562,7.221952935472E-06,2.71121646957576E-11,-2.92499802061502E-06,1.09566553679961E-05,2.74724632100904E-11,1.0307864636977E-05,0,0,0,0,0,0,package://MCat/meshes/FR_foot.STL,0,0,0,1,0,0,0,0,0,0,package://MCat/meshes/FR_foot.STL,,30kg开模脚掌-2,FR_foot,,FR_foot_joint,fixed,0,0,-0.26851,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.0135743006129595,-0.0146338381170842,-0.00022162332139368,0,0,0,0.602542264410564,0.000459761220423681,-1.45396009800454E-06,1.1161683460754E-06,0.000914077185979957,1.56692628514306E-07,0.000612038563525873,0,0,0,0,0,0,package://MCat/meshes/RL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://MCat/meshes/RL_hip.STL,,30kg前摆关节电机装配体-3,HL_hip,A_HL_hip,RL_hip_joint,revolute,-0.28906,0.079803,-0.015554,0,0,0,base,1,0,0,0,0,-180,180,,,,,,,,
