Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0233377349638535,-0.00468790146122022,0.00538613990891323,0,0,0,9.16848070245308,0.0352741761921453,1.2313316581985E-05,0.000158813015018079,0.248681010164427,-9.7892667351497E-06,0.270213027816293,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/base_link.STL,,机身装配体URDF2_5.1-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_Link,-0.0135743663768049,-0.00401713429637218,1.11312544540665E-05,0,0,0,0.569586702717391,0.000384443926606168,-1.44845903784973E-06,-2.1289022566562E-07,0.000585047038054894,8.69226346536844E-09,0.000318231381673725,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_hip_Link.STL,,左前外展关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,FL_hip,Axis_FL_hip_joint,FL_hip_joint,fixed,0.301119517121937,0.0709999999999666,0,0,0,0,base_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
FL_thigh_Link,-0.00419280281060108,-0.0245836021639148,-0.0318308134877855,0,0,0,1.1429562003243,0.00501787356710074,-5.72941191973933E-05,0.000361394149934679,0.00555043605513418,-0.000409422098491573,0.00109163008470502,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_thigh_Link.STL,,左前前摆关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,FL_thigh,Axis_FL_thigh_joint,FL_thigh_joint,fixed,0,0.119999999999976,0,0,0,0,FL_hip_Link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
FL_calf_Link,0.010104175048812,4.40980960192405E-07,-0.134902072849876,0,0,0,0.225198912715456,0.00219278210648985,-1.65282636659187E-10,-1.49202111940968E-05,0.00223735579078752,5.39147336522405E-10,6.06093405531365E-05,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_calf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_calf_Link.STL,,左前膝关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,FL_calf,Axis_FL_calf_joint,FL_calf_joint,fixed,0,0,-0.259999999999999,0,0,0,FL_thigh_Link,0,0,1,100,100,-3.14,3.14,,,,,,,,
FL_foot_Link,-0.00856845532202355,4.28790945432578E-05,-0.0136196765749882,0,0,0,0.043216899886071,1.15757151772912E-05,-3.05668222580909E-09,-4.68522618267647E-06,1.8576058015266E-05,-4.85615652007735E-09,1.60753314183165E-05,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_foot_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FL_foot_Link.STL,,30kg开模脚掌URDF2_5.1-2,FL_foot,Axis_FL_foot_joint,FL_foot_joint,fixed,0,0,-0.26,0,0,0,FL_calf_Link,0,0,0,,,,,,,,,,,,
FR_hip_Link,-0.0135743661172607,0.00403072009067196,-1.11311964362537E-05,0,0,0,0.569586698088526,0.000384443926436163,1.44845910520705E-06,2.12890227844065E-07,0.000585047037944497,8.69221431482525E-09,0.000318231381802788,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_hip_Link.STL,,右前外展关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,FR_hip,Axis_FR_hip_joint,FR_hip_joint,fixed,0.301119517121938,-0.0710000000000336,0,0,0,0,base_link,0,-1,0,100,100,-3.14,3.14,,,,,,,,
FR_thigh_Link,-0.00387478425612597,0.0250967098324953,-0.0329004196045214,0,0,0,1.1037213810728,0.00499932653437004,5.73063552779313E-05,0.000360346095707094,0.00551454363319372,0.000409453680706633,0.0010741032251648,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_thigh_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_thigh_Link.STL,,右前前摆关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,FR_thigh,Axis_FR_thigh_joint,FR_thigh_joint,fixed,0,-0.119999999999983,0,0,0,0,FR_hip_Link,0,0,1,100,100,-3.14,3.14,,,,,,,,
FR_calf_Link,0.0101041750488182,4.40980961746718E-07,-0.134902072849872,0,0,0,0.225198912715469,0.00219278210648982,-1.65282637391668E-10,-1.49202111941108E-05,0.0022373557907875,5.3914733849511E-10,6.06093405531366E-05,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_calf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_calf_Link.STL,,右前膝关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,FR_calf,,FR_calf_joint,fixed,0,0,-0.26,0,0,0,FR_thigh_Link,0,0,0,100,100,-3.14,3.14,,,,,,,,
FR_foot_Link,-0.00856845520912253,4.28790207911423E-05,-0.0136196767378984,0,0,0,0.0432169003560824,1.15757153182597E-05,-3.05671654056831E-09,-4.68522625930244E-06,1.85760581847748E-05,-4.85610447531027E-09,1.60753314931031E-05,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_foot_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/FR_foot_Link.STL,,30kg开模脚掌URDF2_5.1-1,FR_foot,,FR_foot_joint,fixed,0,0,-0.26,0,0,0,FR_calf_Link,0,0,0,,,,,,,,,,,,
RL_hip_Link,0.0135743661172607,-0.00401713434858364,-1.11311964122729E-05,0,0,0,0.569586698088527,0.000384443926436163,1.4484591052068E-06,-2.12890227854512E-07,0.000585047037944496,-8.6922143153699E-09,0.000318231381802786,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/RL_hip_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://迭代第二版机械狗装配体URDF2_5.1/meshes/RL_hip_Link.STL,,左后外展关节惯量^迭代第二版机械狗装配体URDF2_5.1-1,RL_hip,,RL_hip_joint,fixed,-0.30112,0.071,0,0,0,0,base_link,0,0,0,100,100,-3.14,3.14,,,,,,,,
